mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
24	24	92	2.0	0	0	4/4	1	1	0	VI6	dcml
24	24	94	1.0	1/2	1/2	4/4	1	1	0	V(64)/v	dcml
24	24	95	1.0	3/4	3/4	4/4	1	1	0	V/v	dcml
25	25	96	4.0	0	0	4/4	1	1	0	v	dcml
26	26	100	4.0	0	0	4/4	1	1	0	V43/v	dcml
27	27	104	4.0	0	0	4/4	1	1	0	viio65/v	dcml
28	28	108	2.0	0	0	4/4	1	1	0	v6	dcml
28	28	110	2.0	1/2	1/2	4/4	1	1	0	V6	dcml
29	29	112	1.0	0	0	4/4	1	1	0	V43	dcml
29	29	113	1.0	1/4	1/4	4/4	1	1	0	viio	dcml
29	29	114	1.0	1/2	1/2	4/4	1	1	0	V6	dcml
29	29	115	1.0	3/4	3/4	4/4	1	1	0	viio	dcml
30	30	116	1.0	0	0	4/4	1	1	0	V(b96)	dcml
30	30	117	1.0	1/4	1/4	4/4	1	1	0	V43	dcml
30	30	118	1.0	1/2	1/2	4/4	1	1	0	i	dcml
30	30	119	1.0	3/4	3/4	4/4	1	1	0	V65(b9)/iv	dcml
31	31	120	3.0	0	0	4/4	1	1	0	iv	dcml
31	31	123	1.0	3/4	3/4	4/4	1	1	0	iv6	dcml
