mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
15	14	161/4	161/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	110											
15	14	167/4	167/4	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	111									22		
15	14	157/4	157/4	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	112									23		
15	14	161/4	161/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	113											
15	14	167/4	167/4	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	114									24		
16	15	169/4	169/4	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	115											
16	15	177/4	177/4	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	116									25		
16	15	535/12	535/12	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	117									25		
16	15	539/12	539/12	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	118											
16	15	169/4	169/4	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	119											
16	15	173/4	173/4	0.3333333333333333	1/4	1/4	Chord	3/4	2	2	1/12		1/8	2/3	120									26		
16	15	523/12	523/12	0.3333333333333333	1/3	1/3	Chord	3/4	2	2	1/12		1/8	2/3	121									26		
16	15	527/12	527/12	0.3333333333333333	5/12	5/12	Chord	3/4	2	2	1/12		1/8	2/3	122											
16	15	177/4	177/4	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	123											
16	15	169/4	169/4	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	124											
16	15	177/4	177/4	0.3333333333333333	1/2	1/2	Chord	3/4	3	1	1/12		1/8	2/3	125									27		
16	15	535/12	535/12	0.3333333333333333	7/12	7/12	Chord	3/4	3	1	1/12		1/8	2/3	126									27		
16	15	539/12	539/12	0.3333333333333333	2/3	2/3	Chord	3/4	3	1	1/12		1/8	2/3	127											
16	15	169/4	169/4	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	128											
16	15	177/4	177/4	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	129											
