mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin
31	30	118	118	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	266			articAccentAbove												
31	30	120	120	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	267											7				
32	31	121	121	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	268	Quel-										8				
32	31	245/2	245/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	269															
32	31	123	123	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	270	-le														
32	31	247/2	247/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	271															
32	31	124	124	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	272	der														
32	31	249/2	249/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	273															
32	31	121	121	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	274			articAccentBelow												
32	31	122	122	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	275															
32	31	245/2	245/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	276															
32	31	123	123	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	277															
32	31	124	124	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	278															
32	31	121	121	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	279															
32	31	122	122	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	280			articAccentAbove												
32	31	124	124	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	281											9				
33	32	125	125	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	282															
33	32	125	125	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	283	Brust														
33	32	126	126	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	284	so														
33	32	253/2	253/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	285															
33	32	127	127	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	286	glü-														
33	32	128	128	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	287	-hend														
33	32	125	125	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	288			articAccentBelow												
33	32	126	126	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	289															
33	32	253/2	253/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	290															
33	32	127	127	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	291															
33	32	128	128	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	292															
33	32	125	125	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	293															
33	32	126	126	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	294			articAccentAbove												
33	32	128	128	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	295											10				
34	33	129	129	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	296	heiss,														
34	33	132	132	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	297	als														
34	33	129	129	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	298															
34	33	130	130	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	299															
34	33	261/2	261/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	300															
34	33	131	131	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	301															
34	33	132	132	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	302															
34	33	129	129	0.5	0	0	Chord	2/2	2	2	1/8		1/8	1	303															
34	33	259/2	259/2	0.5	1/8	1/8	Chord	2/2	2	2	1/8		1/8	1	304															
34	33	130	130	0.5	1/4	1/4	Chord	2/2	2	2	1/8		1/8	1	305															
34	33	261/2	261/2	0.5	3/8	3/8	Chord	2/2	2	2	1/8		1/8	1	306															
34	33	131	131	1.0	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	307															
34	33	132	132	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	308															
34	33	129	129	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	309															
34	33	130	130	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	310			articAccentAbove												
34	33	132	132	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	311											11				
34	33	265/2	265/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	312															
35	34	133	133	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	313															
35	34	133	133	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	314	woll-														
35	34	269/2	269/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	315	-tet														
35	34	135	135	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	316	ihr														
35	34	273/2	273/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	317	zer-														
35	34	133	133	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	318															
35	34	134	134	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	319															
35	34	269/2	269/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	320															
35	34	135	135	0.0	1/2	1/2	Spanner	2/2	2	1	0																	0		
35	34	135	135	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	321													0		
35	34	136	136	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	322													0		
35	34	133	133	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	323			articAccentAbove												
35	34	134	134	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	324			articStaccatoAbove												
35	34	269/2	269/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	325			articStaccatoAbove												
35	34	135	135	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	326															
35	34	136	136	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	327			articStaccatoBelow												
35	34	273/2	273/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	328			articStaccatoBelow												
36	35	137	137	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	329	-schmel-										12				
36	35	277/2	277/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	330															
36	35	139	139	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	331	-zen														
36	35	140	140	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	332	des														
36	35	137	137	0.0	0	0	Spanner	2/2	2	1	0																			
36	35	137	137	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	333															
36	35	138	138	0.0	1/4	1/4	Dynamic	2/2	2	1	0						fz													
36	35	138	138	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	334															
36	35	277/2	277/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	335															
36	35	139	139	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	336															
36	35	140	140	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	337															
36	35	137	137	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	338			articStaccatoAbove												
36	35	138	138	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	339			articAccentBelow												
36	35	140	140	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	340			articStaccatoAbove												
37	36	141	141	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	341	gan-														
37	36	142	142	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	342	-zen														
37	36	285/2	285/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	343															
37	36	143	143	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	344	Win-														
37	36	144	144	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	345	-ters														
37	36	289/2	289/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	346															
37	36	141	141	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	347															
37	36	142	142	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	348															
37	36	285/2	285/2	0.0	3/8	3/8	Spanner	2/2	2	1	0																			1
37	36	285/2	285/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	349															1
37	36	143	143	0.0	1/2	1/2	Spanner	2/2	2	1	0																			
37	36	143	143	0.0	1/2	1/2	Spanner	2/2	2	1	0																		1	
37	36	143	143	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	350														1	
37	36	144	144	0.0	3/4	3/4	Spanner	2/2	2	1	0																			
37	36	144	144	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	351															
37	36	289/2	289/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	352															
37	36	141	141	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	353			articStaccatoAbove												
37	36	142	142	0.0	1/4	1/4	Dynamic	2/2	3	1	0						fz													
37	36	142	142	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	354			articAccentBelow												
37	36	144	144	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	355			articStaccatoAbove												
38	37	145	145	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	356	Eis,														
38	37	148	148	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	357	des														
38	37	145	145	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	358															
38	37	146	146	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	359															
38	37	293/2	293/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	360															
38	37	147	147	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	361															
38	37	148	148	0.0	3/4	3/4	Dynamic	2/2	2	1	0						mf													
38	37	148	148	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	362															
38	37	145	145	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	363			articStaccatoAbove												
38	37	146	146	0.0	1/4	1/4	Dynamic	2/2	3	1	0						fz													
38	37	146	146	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	364			articAccentBelow												
38	37	148	148	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	365			articStaccatoAbove												
39	38	149	149	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	366	gan-														
39	38	299/2	299/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	367															
39	38	150	150	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	368	-zen														
39	38	301/2	301/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	369															
39	38	151	151	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	370	Win-														
39	38	152	152	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	371	-ters														
39	38	149	149	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	372															
39	38	150	150	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	373															
39	38	301/2	301/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	374															
39	38	151	151	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	375															
39	38	152	152	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	376															
39	38	149	149	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	377															
39	38	150	150	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	378															
39	38	301/2	301/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	379															
39	38	151	151	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	380															
39	38	152	152	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	381															
40	39	153	153	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	382	Eis,														
40	39	156	156	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	383	ihr														
40	39	153	153	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	384															
40	39	154	154	0.0	1/4	1/4	Spanner	2/2	2	1	0																		2	
40	39	154	154	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	385														2	
40	39	309/2	309/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	386														2	
40	39	155	155	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	387														2	
40	39	156	156	0.0	3/4	3/4	Dynamic	2/2	2	1	0						p													
40	39	156	156	0.0	3/4	3/4	Spanner	2/2	2	1	0																			
40	39	156	156	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	388															
40	39	153	153	0.0	0	0	Dynamic	2/2	3	1	0						fz													
40	39	153	153	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	389															
40	39	154	154	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	390															
40	39	156	156	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	391											13				
41	40	157	157	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	392	dringt														
41	40	158	158	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	393	doch														
41	40	317/2	317/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	394															
41	40	159	159	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	395	aus														
41	40	160	160	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	396	der														
41	40	157	157	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	397			articAccentBelow												
41	40	158	158	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	398															
41	40	317/2	317/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	399															
41	40	159	159	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	400															
41	40	160	160	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	401															
41	40	157	157	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	402															
41	40	158	158	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	403			articAccentAbove												
41	40	160	160	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	404											14				
42	41	161	161	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	405	Quel-										15				
42	41	325/2	325/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	406															
42	41	163	163	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	407	-le														
42	41	327/2	327/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	408															
42	41	164	164	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	409	der														
42	41	329/2	329/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	410															
42	41	161	161	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	411															
42	41	162	162	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	412															
42	41	325/2	325/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	413															
42	41	163	163	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	414															
42	41	164	164	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	415															
42	41	161	161	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	416															
42	41	162	162	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	417			articAccentAbove												
42	41	164	164	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	418											16				
43	42	165	165	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	419															
43	42	165	165	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	420	Brust														
43	42	166	166	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	421	so														
43	42	333/2	333/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	422															
43	42	167	167	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	423	glü-														
43	42	168	168	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	424	-hend														
43	42	165	165	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	425			articAccentBelow												
43	42	166	166	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	426															
43	42	333/2	333/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	427															
43	42	167	167	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	428															
43	42	168	168	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	429															
43	42	165	165	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	430															
43	42	166	166	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	431			articAccentAbove												
43	42	168	168	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	432											17				
44	43	169	169	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	433	heiss,														
44	43	172	172	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	434	als														
44	43	169	169	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	435															
44	43	170	170	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	436															
44	43	341/2	341/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	437															
44	43	171	171	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	438															
44	43	172	172	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	439															
44	43	169	169	0.5	0	0	Chord	2/2	2	2	1/8		1/8	1	440															
44	43	339/2	339/2	0.5	1/8	1/8	Chord	2/2	2	2	1/8		1/8	1	441															
44	43	170	170	0.5	1/4	1/4	Chord	2/2	2	2	1/8		1/8	1	442															
44	43	341/2	341/2	0.5	3/8	3/8	Chord	2/2	2	2	1/8		1/8	1	443															
44	43	171	171	1.0	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	444															
44	43	172	172	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	445															
44	43	169	169	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	446															
44	43	170	170	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	447			articAccentAbove												
44	43	172	172	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	448											18				
44	43	345/2	345/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	449															
45	44	173	173	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	450															
45	44	173	173	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	451	woll-														
45	44	349/2	349/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	452	-tet														
45	44	175	175	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	453	ihr														
45	44	176	176	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	454	zer														
45	44	173	173	0.0	0	0	Spanner	2/2	2	1	0																		3	
45	44	173	173	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	455														3	
45	44	174	174	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	456														3	
45	44	349/2	349/2	0.0	3/8	3/8	Spanner	2/2	2	1	0																			
45	44	349/2	349/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	457															
45	44	175	175	0.0	1/2	1/2	Spanner	2/2	2	1	0																	1		
45	44	175	175	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	458													1		
45	44	176	176	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	459													1		
45	44	173	173	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	460															
45	44	174	174	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	461			articStaccatoAbove												
45	44	349/2	349/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	462			articStaccatoAbove												
45	44	175	175	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	463															
45	44	176	176	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	464			articStaccatoBelow												
45	44	353/2	353/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	465			articStaccatoBelow												
46	45	177	177	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	466	schmel-										19				
46	45	357/2	357/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	467															
46	45	179	179	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	468	-zen														
46	45	180	180	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	469	des														
46	45	177	177	0.0	0	0	Spanner	2/2	2	1	0																			
46	45	177	177	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	470															
46	45	178	178	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	471															
46	45	357/2	357/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	472															
46	45	179	179	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	473															
46	45	180	180	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	474															
46	45	177	177	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	475			articStaccatoAbove												
46	45	178	178	0.0	1/4	1/4	Dynamic	2/2	3	1	0						fz													
46	45	178	178	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	476			articAccentBelow												
46	45	180	180	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	477			articStaccatoAbove												
47	46	181	181	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	478	gan-														
47	46	182	182	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	479	-zen														
47	46	365/2	365/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	480															
47	46	183	183	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	481	Win-														
47	46	184	184	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	482	-ters														
47	46	369/2	369/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	483															
47	46	181	181	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	484															
47	46	182	182	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	485															
47	46	365/2	365/2	0.0	3/8	3/8	Spanner	2/2	2	1	0																			2
47	46	365/2	365/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	486															2
47	46	183	183	0.0	1/2	1/2	Spanner	2/2	2	1	0																			
47	46	183	183	0.0	1/2	1/2	Spanner	2/2	2	1	0																		4	
47	46	183	183	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	487														4	
47	46	184	184	0.0	3/4	3/4	Spanner	2/2	2	1	0																			
47	46	184	184	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	488															
47	46	369/2	369/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	489															
47	46	181	181	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	490			articStaccatoAbove												
47	46	182	182	0.0	1/4	1/4	Dynamic	2/2	3	1	0						fz													
47	46	182	182	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	491			articAccentBelow												
47	46	184	184	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	492			articStaccatoAbove												
48	47	185	185	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	493	Eis,														
48	47	188	188	0.0	3/4	3/4	StaffText	2/2	1	1	0								stark											
48	47	188	188	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	494	des														
48	47	185	185	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	495															
48	47	186	186	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	496															
48	47	373/2	373/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	497															
48	47	187	187	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	498															
48	47	188	188	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	499															
48	47	185	185	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	500			articStaccatoAbove												
48	47	186	186	0.0	1/4	1/4	Dynamic	2/2	3	1	0						fz													
48	47	186	186	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	501			articAccentBelow												
48	47	188	188	0.0	3/4	3/4	Dynamic	2/2	3	1	0						f													
48	47	188	188	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	502			articStaccatoAbove												
49	48	189	189	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	503	gan-														
49	48	190	190	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	504	-zen														
49	48	381/2	381/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	505															
49	48	191	191	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	506	Win-														
49	48	385/2	385/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	507	-ters														
49	48	189	189	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	508															
49	48	190	190	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	509															
49	48	381/2	381/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	510															
49	48	191	191	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	511															
49	48	192	192	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	512															
49	48	189	189	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	513															
49	48	190	190	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	514															
49	48	381/2	381/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	515															
49	48	191	191	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	516															
49	48	192	192	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	517															
50	49	193	193	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	518	Eis.														
50	49	193	193	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	519															
50	49	194	194	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	520			articAccentAbove												
50	49	196	196	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	521			articStaccatoBelow												
50	49	193	193	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	522															
50	49	196	196	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	523			articStaccatoBelow												
51	50	197	197	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	524															
51	50	200	200	0.0	3/4	3/4	Dynamic	2/2	2	1	0						p													
51	50	200	200	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	525															
51	50	197	197	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	526															
51	50	198	198	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	527			articAccentAbove												
51	50	200	200	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	528															
52	51	201	201	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	529															
52	51	202	202	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	530			articAccentAbove												
52	51	204	204	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	531			articStaccatoBelow												
52	51	201	201	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	532															
52	51	203	203	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	533															
