mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
22	21	121/2	121/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	240	auch											
22	21	245/4	245/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	241	wohl											
22	21	123/2	123/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	242	drei;											
22	21	63	63	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	243	nun											
22	21	121/2	121/2	0.0	0	0	Spanner	3/4	2	1	0															8
22	21	121/2	121/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	244												8
22	21	245/4	245/4	0.0	3/16	3/16	Spanner	3/4	2	1	0															
22	21	245/4	245/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	245												
22	21	123/2	123/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	246												
22	21	121/2	121/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	247												
22	21	123/2	123/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	248												
22	21	63	63	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	249												
22	21	121/2	121/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	250										52		
22	21	245/4	245/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	251												
22	21	123/2	123/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	252												
22	21	63	63	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	253												
23	22	127/2	127/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	254	sind											
23	22	257/4	257/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	255	hin-											
23	22	129/2	129/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	256	-ab											
23	22	66	66	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	257	die											
23	22	127/2	127/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	258										53		
23	22	257/4	257/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	259										53		
23	22	129/2	129/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	260												
23	22	66	66	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	261												
23	22	127/2	127/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	262												
23	22	129/2	129/2	0.0	1/4	1/4	StaffText	3/4	2	2	0							decresc.								
23	22	129/2	129/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	263												
23	22	66	66	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	264												
23	22	127/2	127/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	265										54		
23	22	129/2	129/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	266												
23	22	66	66	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	267												
24	23	133/2	133/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	268	be-											
24	23	269/4	269/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	269	-sten											
24	23	135/2	135/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	270	zwei.											
24	23	133/2	133/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	271										55		
24	23	269/4	269/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	272										55		
24	23	135/2	135/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	273												
24	23	69	69	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	274												
24	23	133/2	133/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	275												
24	23	135/2	135/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	276												
24	23	69	69	0.0	5/8	5/8	Dynamic	3/4	2	2	0					pp										
24	23	69	69	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	277												
24	23	133/2	133/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	278										56		
24	23	135/2	135/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	279												
24	23	69	69	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	280												
25	24	139/2	139/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	281										57		
25	24	281/4	281/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	282										57		
25	24	141/2	141/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	283										57		
25	24	71	71	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	284										57		
25	24	143/2	143/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	285										57		
25	24	72	72	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	286										57		
25	24	139/2	139/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	287												
25	24	139/2	139/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	288										58		
25	24	141/2	141/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	289										58		
25	24	71	71	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	290										58		
25	24	143/2	143/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	291										58		
25	24	72	72	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	292										58		
25	24	141/2	141/2	2.0	1/4	1/4	Chord	3/4	3	2	1/2	1/2	1	293												
26	25	75	75	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	294	Ging											
26	25	145/2	145/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	295												
26	25	75	75	0.0	5/8	5/8	Dynamic	3/4	2	1	0					p										
26	25	75	75	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	296												
26	25	145/2	145/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	297												
26	25	75	75	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	298												
27	26	151/2	151/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	299	nur											
27	26	305/4	305/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	300	die											
27	26	153/2	153/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	301	dritt											
27	26	78	78	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	302	erst											
27	26	151/2	151/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	303										59		
27	26	305/4	305/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	304												
27	26	153/2	153/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	305										60		
27	26	78	78	0.0	5/8	5/8	Spanner	3/4	2	1	0														7	
27	26	78	78	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	306											7	
27	26	151/2	151/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	307											7	
27	26	151/2	151/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	308										61		
27	26	305/4	305/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	309												
27	26	153/2	153/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	310										62		
27	26	78	78	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	311												
28	27	157/2	157/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	312	hin-											
28	27	317/4	317/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	313	-ter-											
28	27	159/2	159/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	314	-drein!											
28	27	81	81	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	315	Im											
28	27	157/2	157/2	0.0	0	0	Spanner	3/4	2	1	0															
28	27	157/2	157/2	0.0	0	0	Spanner	3/4	2	1	0															9
28	27	157/2	157/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	316										63		9
28	27	317/4	317/4	0.0	3/16	3/16	Spanner	3/4	2	1	0															
28	27	317/4	317/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	317												
28	27	159/2	159/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	318												
28	27	81	81	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	319												
28	27	157/2	157/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	320										64		
28	27	317/4	317/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	321												
28	27	159/2	159/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	322												
28	27	81	81	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	323												
29	28	163/2	163/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	324	Dun-											
29	28	329/4	329/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	325	-keln											
29	28	165/2	165/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	326	wird											
29	28	167/2	167/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	327										65		
29	28	503/6	503/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	328												
29	28	505/6	505/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	329	mir											
29	28	163/2	163/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	330										66		
29	28	329/4	329/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	331										66		
29	28	165/2	165/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	332												
29	28	84	84	0.0	5/8	5/8	Dynamic	3/4	2	1	0					pp										
29	28	84	84	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	333												
29	28	163/2	163/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	334												
29	28	163/2	163/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	335										67		
29	28	165/2	165/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	336												
29	28	84	84	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	337												
30	29	169/2	169/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	338	woh-											
30	29	341/4	341/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	339	-ler											
30	29	171/2	171/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	340	sein.											
30	29	169/2	169/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	341										68		
30	29	341/4	341/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	342										68		
30	29	171/2	171/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	343												
30	29	87	87	0.0	5/8	5/8	Dynamic	3/4	2	1	0					f										
30	29	87	87	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	344												
30	29	169/2	169/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	345												
30	29	171/2	171/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	346												
30	29	169/2	169/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	347										69		
30	29	171/2	171/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	348												
30	29	87	87	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	349												
31	30	175/2	175/2	0.0	0	0	Spanner	3/4	2	1	0														8	
31	30	175/2	175/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	350										70	8	
31	30	353/4	353/4	0.0	3/16	3/16	Spanner	3/4	2	1	0															
31	30	353/4	353/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	351												
31	30	177/2	177/2	0.0	1/4	1/4	Spanner	3/4	2	1	0															10
31	30	177/2	177/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	352										71		10
31	30	90	90	0.0	5/8	5/8	Spanner	3/4	2	1	0															
31	30	90	90	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	353												
31	30	175/2	175/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	354												
31	30	177/2	177/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	355												
31	30	175/2	175/2	0.0	0	0	Dynamic	3/4	3	1	0					p										
31	30	175/2	175/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	356										72		
31	30	353/4	353/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	357												
31	30	177/2	177/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	358										73		
31	30	90	90	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	359												
32	31	181/2	181/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	360										74		
32	31	365/4	365/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	361										74		
32	31	183/2	183/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	362												
32	31	93	93	0.0	5/8	5/8	Dynamic	3/4	2	1	0					pp										
32	31	93	93	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	363												
32	31	181/2	181/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	364												
32	31	183/2	183/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	365												
32	31	181/2	181/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	366										75		
32	31	183/2	183/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	367												
32	31	93	93	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	368												
33	32	187/2	187/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	369										76		
33	32	377/4	377/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	370										76		
33	32	189/2	189/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	371												
33	32	187/2	187/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	372												
33	32	189/2	189/2	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	373												
33	32	187/2	187/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	374										77		
33	32	189/2	189/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	375												
