mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
24	24	71	71	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	258													
24	24	214/3	214/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	259													
24	24	215/3	215/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	260	-len	-hen											
24	24	69	69	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	261													
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	262													
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	263													
24	24	69	69	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	264													
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	265													
24	24	70	70	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	266													
25	25	72	72	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	267	und	da											
25	25	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	268													
25	25	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	269	der	ist											
25	25	73	73	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	270	wei	mei											
25	25	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	271													
25	25	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	272	che	ner											
25	25	74	74	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	273	Schnee	Lieb-											
25	25	223/3	223/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	274													
25	25	224/3	224/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	275	zer-	-sten											
25	25	72	72	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	276													
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	277													
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	2	1	0																4
25	25	73	73	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	278													4
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	279													4
25	25	74	74	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	280													4
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	281													4
25	25	72	72	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	282													
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	283													
25	25	73	73	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	284													
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	285													
25	25	74	74	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	286													
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	287													
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	288	-rinnt,	Haus,											
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	289													
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	290													
26	26	76	76	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	291													
26	26	75	75	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	292													
26	26	76	76	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	293													
27	27	78	78	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	294	und	da											
27	27	235/3	235/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	295													
27	27	236/3	236/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	296	der	ist											
27	27	79	79	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	297	wei-	mei											
27	27	238/3	238/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	298													
27	27	239/3	239/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	299	-che	ner											
27	27	80	80	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	300	Schnee	Lieb-											
27	27	241/3	241/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	301													
27	27	242/3	242/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	302	zer-	-sten											
27	27	78	78	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	303													
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	304													
27	27	79	79	0.0	1/4	1/4	Spanner	3/4	2	1	0																5
27	27	79	79	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	305													5
27	27	319/4	319/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	306													5
27	27	80	80	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	307													5
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	308													5
27	27	78	78	0.0	0	0	Dynamic	3/4	3	1	0						mf										
27	27	78	78	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	309													
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	310													
27	27	79	79	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	311													
27	27	319/4	319/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	312													
27	27	80	80	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	313													
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	314													
28	28	81	81	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	315	-rinnt.	Haus.											
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																
28	28	81	81	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	316													
28	28	81	81	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	317													
29	29	84	84	0.0	0	0	Dynamic	3/4	2	1	0						mp										
29	29	84	84	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	318											13		
29	29	253/3	253/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	319											13		
29	29	254/3	254/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	320													
29	29	85	85	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	321				articAccentAbove							14		
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	322													
29	29	84	84	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	323													
29	29	339/4	339/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	324													
29	29	85	85	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	325													
30	30	87	87	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	326											15		
30	30	262/3	262/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	327											15		
30	30	263/3	263/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	328													
30	30	88	88	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	329				articAccentAbove							16		
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	330													
30	30	87	87	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	331													
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	332													
30	30	88	88	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	333													
31	31	90	90	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	334													
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	335											17		
31	31	91	91	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	336													
31	31	367/4	367/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	337													
31	31	92	92	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	338											18		
31	31	277/3	277/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	339													
31	31	278/3	278/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	340													
31	31	90	90	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	341													
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	342													
31	31	91	91	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	343													
31	31	367/4	367/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	344													
31	31	92	92	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	345													
31	31	371/4	371/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	346													
32	32	93	93	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	347													
32	32	93	93	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	348													
