mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
12	12	33	33	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	152														
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	153														
12	12	34	34	0.0	1/4	1/4	StaffText	3/4	3	1	0							cresc.										
12	12	34	34	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	154														
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	155														
12	12	35	35	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	156														
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	157														
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	158	Eis													
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	159	und													
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	160	Schnee,													
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	161	ich													
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																	
13	13	145/4	145/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	162														
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	163														
13	13	149/4	149/4	0.0	5/16	5/16	Dynamic	3/4	2	1	0					f												
13	13	149/4	149/4	0.0	5/16	5/16	Spanner	3/4	2	1	0																4	
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	164													4	
13	13	151/4	151/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	165													4	
13	13	153/4	153/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	166													4	
13	13	155/4	155/4	0.0	11/16	11/16	Dynamic	3/4	2	1	0					p											4	
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	167													4	
13	13	36	36	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	168														
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	169														
13	13	37	37	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	170														
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	171														
13	13	38	38	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	172														
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	173														
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	174	möcht													
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	175	nicht													
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	176	wie-													
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	177	-der													
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	178	A-													
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	179	-tem													
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																	
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	180														
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	181														
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	182														
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	183														
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	184														
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	185														
14	14	39	39	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	186														
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	187														
14	14	40	40	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	188														
