mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	259										
12	12	46	46	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	260										
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	261										
12	12	44	44	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	262										
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	263										
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	264										
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	265										
12	12	46	46	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	266										
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	267										
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	268	recht									
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	269	nach									
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	270	mei-									
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	271	-nem									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	272	Sinn!									
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	273	Mein									
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	274										
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	275										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	276										
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	277										
13	13	50	50	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	278										
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	279										
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	280										
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	281										
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	282										
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	283										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	284										
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	285										
13	13	50	50	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	286										
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	287										
13	13	51	51	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	288										
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	289										
14	14	52	52	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	290	Herz									
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	291	sieht									
14	14	53	53	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	292	an									
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	293										
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	294	dem									
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	295										
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	296	Him-									
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	297	-mel									
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	298	ge-									
14	14	52	52	0.0	0	0	Spanner	4/4	2	1	0														3
14	14	52	52	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	299									25	3
14	14	211/4	211/4	0.0	3/16	3/16	Spanner	4/4	2	1	0													25	
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	300									25	
14	14	53	53	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	301									25	
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	302									25	
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	303									25	
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	304										
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	305									26	
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	306										
14	14	111/2	111/2	0.0	7/8	7/8	Spanner	4/4	2	1	0														4
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	307									27	4
14	14	52	52	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	308									28	
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	309									28	
14	14	53	53	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	310									28	
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	311									28	
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	312									28	
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	313										
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	314									29	
14	14	55	55	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	315										
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	316									30	
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	317	-malt									
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	318	sein									
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	319	eig-									
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	320	-nes									
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	321	Bild,									
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	322	es									
15	15	56	56	0.0	0	0	Spanner	4/4	2	1	0														
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	323										
15	15	113/2	113/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														5
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	324									31	5
15	15	57	57	0.0	1/4	1/4	Spanner	4/4	2	1	0														
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	325										
15	15	115/2	115/2	0.0	3/8	3/8	Spanner	4/4	2	1	0														6
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	326									32	6
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	2	1	0														
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	327									33	
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	328									33	
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	329									33	
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	330										
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	331										
15	15	56	56	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	332										
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	333									34	
15	15	57	57	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	334										
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	335									35	
15	15	58	58	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	336									36	
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	337									36	
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	338									36	
15	15	59	59	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	339										
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	340										
16	16	60	60	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	341	ist									
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	342	nichts									
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	343	als									
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	344	der									
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	345	Win-									
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	346	-ter,									
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	347	es									
16	16	60	60	0.0	0	0	Dynamic	4/4	2	1	0						ff								
16	16	60	60	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	348										
16	16	241/4	241/4	0.0	1/16	1/16	Dynamic	4/4	2	1	0						z								
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	349										
16	16	121/2	121/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	350										
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	351										
16	16	61	61	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	352										
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	353										
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	354										
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	355										
16	16	62	62	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	356										
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	357			articStaccatissimoAbove							
16	16	60	60	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	358										
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	359										
16	16	121/2	121/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	360										
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	361										
16	16	61	61	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	362										
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	363										
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	364										
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	365										
16	16	62	62	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	366										
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	367			articStaccatissimoAbove							
17	17	64	64	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	368	ist									
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	369	nichts									
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	370	als									
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	371	der									
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	372	Win-									
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	373	-ter,									
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	374	der									
17	17	64	64	0.0	0	0	Dynamic	4/4	2	1	0						ff								
17	17	64	64	0.0	0	0	Dynamic	4/4	2	1	0						z								
17	17	64	64	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	375										
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	376										
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	377										
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	378										
17	17	65	65	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	379										
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	380										
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	381										
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	382										
17	17	66	66	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	383										
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	384									37	
17	17	64	64	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	385										
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	386										
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	387										
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	388										
17	17	65	65	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	389										
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	390										
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	391										
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	392										
17	17	66	66	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	393										
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	394									38	
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	395	Win-									
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	396	-ter									
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	397	kalt									
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	398	und									
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	399	wild!									
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	400										
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	401			articStaccatoAbove							
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	402			articStaccatoAbove							
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	403			articStaccatoAbove							
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	404			articStaccatoBelow							
18	18	141/2	141/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	405									39	
18	18	212/3	212/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	406									39	
18	18	425/6	425/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	407									39	
18	18	71	71	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	408									39	
18	18	427/6	427/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	409									39	
18	18	214/3	214/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	410									39	
18	18	143/2	143/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	411									39	
18	18	215/3	215/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	412									39	
18	18	431/6	431/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	413									39	
18	18	68	68	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	414										
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	415			articStaccatoAbove							
18	18	69	69	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	416			articStaccatoAbove							
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	417			articStaccatoAbove							
18	18	70	70	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	418			articStaccatoBelow							
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	419			articStaccatoBelow							
18	18	71	71	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	420			articStaccatoBelow							
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	421			articStaccatoBelow							
19	19	72	72	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	422									39	
19	19	433/6	433/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	423									39	
19	19	217/3	217/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	424									39	
19	19	145/2	145/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	425									39	
19	19	218/3	218/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	426									39	
19	19	437/6	437/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	427									39	
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	428			articStaccatissimoBelow							
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	429			articStaccatissimoAbove							
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	430										
19	19	72	72	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	431			articStaccatoAbove							
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	432			articStaccatoAbove							
19	19	73	73	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	433			articStaccatissimoAbove							
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	434			articStaccatissimoAbove							
19	19	74	74	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	435										
