mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
26	25	49	49	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	269										39				
26	25	99/2	99/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	270														
26	25	97/2	97/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	271										40				
26	25	49	49	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	272										40				
26	25	99/2	99/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	273														
26	25	50	50	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	274										41				
27	26	101/2	101/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	275	Men-													
27	26	51	51	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	276	-schen													
27	26	103/2	103/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	277	soll-													
27	26	52	52	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	278	-te													
27	26	101/2	101/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	279										38				
27	26	51	51	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	280										38				
27	26	103/2	103/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	281										38				
27	26	52	52	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	282										38				
27	26	101/2	101/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	283														
27	26	51	51	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	284										42				
27	26	103/2	103/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	285										42				
27	26	52	52	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	286														
28	27	105/2	105/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	287	scheun,													
28	27	54	54	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	288	welch													
28	27	217/4	217/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	289	ein													
28	27	105/2	105/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	290														
28	27	53	53	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	291														
28	27	107/2	107/2	0.0	1/4	1/4	Spanner	2/4	2	1	0															0			
28	27	107/2	107/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	292										43	0			
28	27	54	54	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	293											0			
28	27	105/2	105/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	294														
28	27	53	53	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	295														
28	27	107/2	107/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	296														
28	27	54	54	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	297														
29	28	109/2	109/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	298	thö-													
29	28	221/4	221/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	299	-rich-													
29	28	111/2	111/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	300	-tes													
29	28	56	56	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	301	Ver-													
29	28	109/2	109/2	0.0	0	0	Dynamic	2/4	2	1	0							fp											
29	28	109/2	109/2	0.0	0	0	Spanner	2/4	2	1	0																		
29	28	109/2	109/2	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	302														
29	28	56	56	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	303										44				
29	28	225/4	225/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	304										44				
29	28	109/2	109/2	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	305														
29	28	56	56	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	306										45				
29	28	225/4	225/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	307										45				
29	28	109/2	109/2	2.0	0	0	Chord	2/4	3	2	1/2		1/2	1	308														
30	29	113/2	113/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	309	-lan-													
30	29	115/2	115/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	310	-gen													
30	29	58	58	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	311	treibt													
30	29	233/4	233/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	312	mich													
30	29	113/2	113/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	313														
30	29	57	57	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	314														
30	29	115/2	115/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	315														
30	29	58	58	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	316										46				
30	29	233/4	233/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	317														
30	29	113/2	113/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	318														
30	29	57	57	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	319														
30	29	115/2	115/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	320														
30	29	58	58	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	321										47				
30	29	233/4	233/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	322														
30	29	113/2	113/2	1.0	0	0	Chord	2/4	3	2	1/4		1/4	1	323														
31	30	117/2	117/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	324	in													
31	30	59	59	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	325	die													
31	30	119/2	119/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	326	Wü-													
31	30	60	60	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	327	-ste													
31	30	117/2	117/2	0.0	0	0	Spanner	2/4	2	1	0																1		
31	30	117/2	117/2	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	328												1		
31	30	60	60	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	329										48		1		
31	30	241/4	241/4	0.0	7/16	7/16	Spanner	2/4	2	1	0														48				
31	30	241/4	241/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	330										48				
31	30	117/2	117/2	0.0	0	0	Dynamic	2/4	3	1	0							fp											
31	30	117/2	117/2	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	331														
31	30	60	60	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	332										49				
31	30	241/4	241/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	333										49				
31	30	117/2	117/2	2.0	0	0	Chord	2/4	3	2	1/2		1/2	1	334														
32	31	121/2	121/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	335	nei-													
32	31	61	61	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	336	-en,													
32	31	123/2	123/2	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	337	treibt													
32	31	249/4	249/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	338	mich													
32	31	121/2	121/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	339														
32	31	61	61	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	340										50				
32	31	123/2	123/2	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	341				articAccentBelow						50				
32	31	249/4	249/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	342														
32	31	121/2	121/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	343														
32	31	61	61	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	344										51				
32	31	123/2	123/2	0.75	1/4	1/4	Chord	2/4	3	1	3/16		1/8	3/2	345										51				
32	31	249/4	249/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	346														
32	31	121/2	121/2	0.5	0	0	Chord	2/4	3	2	1/8		1/8	1	347														
33	32	125/2	125/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	348	in													
33	32	63	63	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	349	die													
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	350	Wü-													
33	32	64	64	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	351	-ste													
33	32	125/2	125/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	352										52				
33	32	63	63	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	353										52				
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	354										52				
33	32	64	64	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	355														
33	32	125/2	125/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	356										53				
33	32	63	63	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	357										53				
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	358										53				
33	32	64	64	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	359														
34	33	129/2	129/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	360	nei'n?													
34	33	129/2	129/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	361				articStaccatoAbove						54				
34	33	65	65	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	362				articStaccatoAbove						54				
34	33	131/2	131/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	363				articStaccatoAbove						54				
34	33	66	66	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	364				articStaccatoAbove										
34	33	129/2	129/2	0.0	0	0	Dynamic	2/4	3	1	0							pp											
34	33	129/2	129/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	365														
35	34	133/2	133/2	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	366														
35	34	133/2	133/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	367														
35	34	67	67	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	368														
35	34	135/2	135/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	369														
35	34	68	68	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	370														
35	34	133/2	133/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	371				articStaccatoAbove						55				
35	34	67	67	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	372				articStaccatoAbove						55				
35	34	135/2	135/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	373				articStaccatoAbove						55				
35	34	68	68	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	374				articStaccatoAbove										
36	35	137/2	137/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	375				articStaccatoAbove						56				
36	35	69	69	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	376				articStaccatoAbove						56				
36	35	139/2	139/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	377				articStaccatoAbove						56				
36	35	70	70	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	378				articStaccatoAbove										
36	35	137/2	137/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	379														
36	35	137/2	137/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	380														
37	36	141/2	141/2	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	381														
37	36	141/2	141/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	382														
37	36	71	71	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	383														
37	36	143/2	143/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	384														
37	36	72	72	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	385														
37	36	141/2	141/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	386				articStaccatoAbove						57				
37	36	71	71	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	387				articStaccatoAbove						57				
37	36	143/2	143/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	388				articStaccatoAbove						57				
37	36	72	72	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	389				articStaccatoAbove										
38	37	145/2	145/2	0.0	0	0	Spanner	2/4	2	1	0															1			
38	37	145/2	145/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	390				articStaccatoAbove						58	1			
38	37	73	73	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	391				articStaccatoAbove						58	1			
38	37	147/2	147/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	392				articStaccatoAbove						58	1			
38	37	74	74	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	393				articStaccatoAbove							1			
38	37	145/2	145/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	394											1			
38	37	145/2	145/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	395														
39	38	149/2	149/2	0.0	0	0	Spanner	2/4	2	1	0																		
39	38	149/2	149/2	0.0	0	0	Spanner	2/4	2	1	0																2		
39	38	149/2	149/2	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	396												2		
39	38	149/2	149/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	397												2		
39	38	75	75	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	398												2		
39	38	151/2	151/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	399												2		
39	38	76	76	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	400												2		
39	38	149/2	149/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	401				articStaccatoAbove						59				
39	38	75	75	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	402				articStaccatoAbove						59				
39	38	151/2	151/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	403				articStaccatoAbove						59				
39	38	76	76	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	404				articStaccatoAbove										
40	39	153/2	153/2	0.0	0	0	Spanner	2/4	2	1	0																		
40	39	153/2	153/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	405				articStaccatoBelow						60				
40	39	155/2	155/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	406				articStaccatoBelow										
40	39	153/2	153/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	407				articStaccatoAbove						61				
40	39	155/2	155/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	408				articStaccatoAbove										
41	40	80	80	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	409	Wei-													
41	40	321/4	321/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	410	-ser													
41	40	80	80	0.0	3/8	3/8	Dynamic	2/4	2	1	0							p											
41	40	80	80	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	411										62				
41	40	321/4	321/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	412										62				
42	41	161/2	161/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	413	ste-													
42	41	81	81	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	414	-hen													
42	41	163/2	163/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	415	auf													
42	41	82	82	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	416	den													
42	41	161/2	161/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	417				articStaccatoBelow						63				
42	41	81	81	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	418				articStaccatoBelow						63				
42	41	163/2	163/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	419				articStaccatoBelow						63				
42	41	82	82	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	420				articStaccatoBelow										
42	41	82	82	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	421										64				
42	41	329/4	329/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	422										64				
43	42	165/2	165/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	423	We-	(Stra-												
43	42	167/2	167/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	424	-gen,	-ssen)												
43	42	84	84	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	425	wei-													
43	42	337/4	337/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	426	-sen													
43	42	165/2	165/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	427										65				
43	42	167/2	167/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	428														
43	42	84	84	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	429										66				
43	42	337/4	337/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	430										66				
43	42	84	84	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	431														
43	42	165/2	165/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	432				articStaccatoAbove						64				
43	42	83	83	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	433				articStaccatoAbove						64				
43	42	167/2	167/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	434				articStaccatoAbove						64				
43	42	84	84	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	435				articStaccatoAbove										
44	43	169/2	169/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	436	auf													
44	43	85	85	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	437	die													
44	43	171/2	171/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	438	Stä-													
44	43	86	86	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	439	-dte													
44	43	169/2	169/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	440										67				
44	43	85	85	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	441										67				
44	43	171/2	171/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	442										67				
44	43	86	86	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	443														
44	43	169/2	169/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	444										68				
44	43	171/2	171/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	445										68				
44	43	86	86	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	446										68				
44	43	345/4	345/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	447														
45	44	173/2	173/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	448	zu,													
45	44	173/2	173/2	0.0	0	0	Spanner	2/4	2	1	0															2			
45	44	173/2	173/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	449										69	2			
45	44	175/2	175/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	450										69	2			
45	44	351/4	351/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	451										69	2			
45	44	88	88	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	452										69	2			
45	44	353/4	353/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	453											2			
45	44	173/2	173/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	454										70				
45	44	87	87	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	455										70				
45	44	175/2	175/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	456										70				
45	44	351/4	351/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	457										70				
45	44	88	88	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	458										70				
45	44	353/4	353/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	459														
46	45	90	90	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	460	und													
46	45	361/4	361/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	461	ich													
46	45	177/2	177/2	0.0	0	0	Spanner	2/4	2	1	0																		
46	45	177/2	177/2	0.0	0	0	Spanner	2/4	2	1	0																3		
46	45	177/2	177/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	462												3		
46	45	89	89	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	463												3		
46	45	179/2	179/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	464												3		
46	45	90	90	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	465												3		
46	45	177/2	177/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	466														
46	45	90	90	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	467														
47	46	181/2	181/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	468	wan-													
47	46	91	91	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	469	-dre													
47	46	183/2	183/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	470	son-													
47	46	92	92	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	471	-der													
47	46	181/2	181/2	0.0	0	0	Spanner	2/4	2	1	0																		
47	46	181/2	181/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	472														
47	46	91	91	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	473														
47	46	183/2	183/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	474														
47	46	92	92	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	475														
47	46	181/2	181/2	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	476														
47	46	92	92	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	477														
48	47	185/2	185/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	478	Ma-													
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	479	-ssen,													
48	47	94	94	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	480	oh-													
48	47	377/4	377/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	481	-ne													
48	47	185/2	185/2	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	482														
48	47	94	94	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	483														
48	47	185/2	185/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	484														
48	47	93	93	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	485														
48	47	93	93	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	486														
48	47	93	93	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	487														
48	47	93	93	0.375	1/8	1/8	Chord	2/4	3	1	3/32		1/16	3/2	488				articAccentAbove						71				
48	47	747/8	747/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	489														
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	490														
48	47	94	94	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	491														
49	48	189/2	189/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	492	Ruh,													
49	48	95	95	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	493	und													
49	48	191/2	191/2	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	494	su-													
49	48	385/4	385/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	495	-che													
49	48	189/2	189/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	496														
49	48	95	95	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	497														
49	48	191/2	191/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	498														
49	48	96	96	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	499														
49	48	189/2	189/2	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	500														
49	48	96	96	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	501														
50	49	193/2	193/2	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	502	Ruh,													
50	49	98	98	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	503	und													
50	49	393/4	393/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	504	ich													
50	49	193/2	193/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	505										72				
50	49	195/2	195/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	506														
50	49	98	98	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	507														
50	49	193/2	193/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	508														
50	49	97	97	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	509														
50	49	97	97	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	510														
50	49	97	97	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	511														
50	49	97	97	0.375	1/8	1/8	Chord	2/4	3	1	3/32		1/16	3/2	512				articAccentBelow						73				
50	49	779/8	779/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	513														
50	49	195/2	195/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	514														
50	49	98	98	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	515														
51	50	197/2	197/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	516	wan-													
51	50	99	99	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	517	-dre													
51	50	199/2	199/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	518	son-													
51	50	399/4	399/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	519														
51	50	100	100	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	520	-der-													
51	50	401/4	401/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	521														
51	50	197/2	197/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	522														
51	50	99	99	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	523														
51	50	199/2	199/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	524														
51	50	100	100	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	525														
51	50	197/2	197/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	526														
51	50	99	99	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	527														
51	50	199/2	199/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	528														
51	50	100	100	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	529														
52	51	201/2	201/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	530	Ma-													
52	51	203/2	203/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	531	-ssen,													
52	51	102	102	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	532	oh-													
52	51	409/4	409/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	533	-ne													
52	51	201/2	201/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	534										74				
