mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
26	26	75/2	75/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	261	Spiel,										
26	26	75/2	75/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	262											
26	26	75/2	75/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	263											
27	27	39	39	0.0	0	0	Spanner	3/8	2	1	0															2
27	27	39	39	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	264									37		2
27	27	313/8	313/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	265											2
27	27	157/4	157/4	0.125	1/16	1/16	Chord	3/8	2	1	1/32		1/32	1	266									38		2
27	27	315/8	315/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	267											2
27	27	79/2	79/2	0.125	1/8	1/8	Chord	3/8	2	1	1/32		1/32	1	268									39		2
27	27	317/8	317/8	0.0	5/32	5/32	Spanner	3/8	2	1	0													39	1	2
27	27	317/8	317/8	0.125	5/32	5/32	Chord	3/8	2	1	1/32		1/32	1	269									39	1	2
27	27	159/4	159/4	0.125	3/16	3/16	Chord	3/8	2	1	1/32		1/32	1	270									39	1	2
27	27	319/8	319/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32		1/32	1	271										1	2
27	27	40	40	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	272										1	2
27	27	323/8	323/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	273										1	2
27	27	39	39	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	274									40		
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	275									40		
27	27	79/2	79/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	276									40		
27	27	159/4	159/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	277											
27	27	40	40	0.375	1/4	1/4	Chord	3/8	3	1	3/32		1/16	3/2	278											
27	27	323/8	323/8	0.125	11/32	11/32	Chord	3/8	3	1	1/32		1/32	1	279											
28	28	83/2	83/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	280	Durch										
28	28	167/4	167/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	281	des										
28	28	81/2	81/2	0.0	0	0	Spanner	3/8	2	1	0															
28	28	81/2	81/2	0.0	0	0	Spanner	3/8	2	1	0															
28	28	81/2	81/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	282											
28	28	81/2	81/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	283											
29	29	42	42	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	284	Berg-										
29	29	171/4	171/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	285	-stroms										
29	29	43	43	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	286	trock-										
29	29	173/4	173/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	287	-ne										
29	29	42	42	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	288											
29	29	339/8	339/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	289											
29	29	85/2	85/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	290			articAccentAbove								
29	29	42	42	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	291											
29	29	42	42	0.0	0	0	Dynamic	3/8	3	1	0						f									
29	29	42	42	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	292											
29	29	339/8	339/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	293											
29	29	85/2	85/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	294			articAccentAbove								
29	29	42	42	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	295											
30	30	87/2	87/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	296	Rin-										
30	30	351/8	351/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	297											
30	30	44	44	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	298	-nen										
30	30	89/2	89/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	299	wind										
30	30	179/4	179/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	300	ich										
30	30	87/2	87/2	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	301											
30	30	351/8	351/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	302											
30	30	44	44	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	303			articAccentAbove								
30	30	87/2	87/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	304											
30	30	87/2	87/2	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	305											
30	30	351/8	351/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	306											
30	30	44	44	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	307			articAccentAbove								
30	30	87/2	87/2	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	308											
31	31	45	45	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	309	ru-										
31	31	183/4	183/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	310	-hig										
31	31	46	46	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	311	mich										
31	31	371/8	371/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	312	hin-										
31	31	45	45	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	313											
31	31	363/8	363/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	314									41		
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	315											
31	31	46	46	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	316											
31	31	91/2	91/2	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	317			articAccentBelow								
31	31	45	45	1.5	0	0	Chord	3/8	2	3	3/8		1/4	3/2	318											
31	31	91/2	91/2	1.0	1/8	1/8	Chord	3/8	2	4	1/4		1/4	1	319											
31	31	45	45	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	320											
31	31	363/8	363/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	321									42		
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	322											
31	31	46	46	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	323											
31	31	91/2	91/2	1.0	1/8	1/8	Chord	3/8	3	2	1/4		1/4	1	324											
31	31	45	45	1.5	0	0	Chord	3/8	3	3	3/8		1/4	3/2	325											
31	31	91/2	91/2	1.0	1/8	1/8	Chord	3/8	3	4	1/4		1/4	1	326											
32	32	93/2	93/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	327	-ab;										
32	32	95/2	95/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	328	je-										
32	32	191/4	191/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	329	-der										
32	32	93/2	93/2	0.0	0	0	Dynamic	3/8	2	1	0						p									
32	32	93/2	93/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	330											
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	331											
32	32	93/2	93/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	332											
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	333											
33	33	48	48	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	334	Strom										
33	33	97/2	97/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	335											
33	33	389/8	389/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	336											
33	33	195/4	195/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	337	wird's										
33	33	391/8	391/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	338											
33	33	49	49	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	339	Meer										
33	33	393/8	393/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	340											
33	33	197/4	197/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	341	ge										
33	33	395/8	395/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	342											
33	33	48	48	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	343											
33	33	49	49	0.0	1/4	1/4	Spanner	3/8	2	1	0														2	
33	33	49	49	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	344										2	
33	33	48	48	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	345											
33	33	49	49	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	346											
34	34	99/2	99/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	347											
34	34	99/2	99/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	348	win-										
34	34	50	50	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	349	-nen,										
34	34	101/2	101/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	350	je										
34	34	152/3	152/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	351											
34	34	305/6	305/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	352	des										
34	34	99/2	99/2	0.0	0	0	Spanner	3/8	2	1	0															
34	34	99/2	99/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	353											
34	34	101/2	101/2	0.0	1/4	1/4	Dynamic	3/8	2	1	0						pp									
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	354									43		
34	34	99/2	99/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	355											
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	356									44		
35	35	51	51	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	357	Lei-										
35	35	103/2	103/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	358											
35	35	413/8	413/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	359											
35	35	207/4	207/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	360	-den										
35	35	415/8	415/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	361											
35	35	52	52	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	362	auch										
35	35	313/6	313/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	363											
35	35	157/3	157/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	364	sein										
35	35	51	51	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	365											
35	35	52	52	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	366											
35	35	419/8	419/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	367											
35	35	51	51	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	368											
35	35	52	52	0.375	1/4	1/4	Chord	3/8	3	1	3/32		1/16	3/2	369											
35	35	419/8	419/8	0.125	11/32	11/32	Chord	3/8	3	1	1/32		1/32	1	370											
36	36	105/2	105/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	371	Grab,										
36	36	107/2	107/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	372	je-										
36	36	215/4	215/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	373	-der										
36	36	105/2	105/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	374											
36	36	107/2	107/2	0.0	1/4	1/4	Dynamic	3/8	2	1	0						mf									
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	375											
36	36	105/2	105/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	376											
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	377											
37	37	54	54	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	378	Strom										
37	37	109/2	109/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	379											
37	37	437/8	437/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	380											
37	37	219/4	219/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	381	wird's										
37	37	439/8	439/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	382											
37	37	55	55	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	383	Meer										
37	37	441/8	441/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	384											
37	37	221/4	221/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	385	ge										
37	37	443/8	443/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	386											
37	37	54	54	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	387											
37	37	55	55	0.0	1/4	1/4	Spanner	3/8	2	1	0														3	
37	37	55	55	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	388										3	
37	37	54	54	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	389											
37	37	55	55	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	390											
38	38	111/2	111/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	391											
38	38	111/2	111/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	392	win-										
38	38	56	56	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	393	-nen,										
38	38	113/2	113/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	394	je										
38	38	170/3	170/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	395											
38	38	341/6	341/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	396	des										
38	38	111/2	111/2	0.0	0	0	Spanner	3/8	2	1	0															
38	38	111/2	111/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	397											
38	38	113/2	113/2	0.0	1/4	1/4	Dynamic	3/8	2	1	0						pp									
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	398									45		
38	38	111/2	111/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	399											
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	400									46		
39	39	57	57	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	401	Lei-										
39	39	115/2	115/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	402											
39	39	461/8	461/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	403											
39	39	231/4	231/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	404	-den										
39	39	463/8	463/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	405											
39	39	58	58	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	406	auch										
39	39	465/8	465/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	407											
39	39	233/4	233/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	408	sein										
39	39	467/8	467/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	409											
39	39	57	57	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	410											
39	39	58	58	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	411											
39	39	57	57	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	412											
39	39	58	58	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	413											
40	40	117/2	117/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	414	Grab.										
40	40	117/2	117/2	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	415											
40	40	471/8	471/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	416									47		
40	40	59	59	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	417											
40	40	117/2	117/2	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	418											
40	40	471/8	471/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	419									48		
40	40	59	59	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	420											
41	41	60	60	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	421											
41	41	483/8	483/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	422									49		
41	41	121/2	121/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	423											
41	41	60	60	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	424											
41	41	483/8	483/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	425									50		
41	41	121/2	121/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	426											
42	42	123/2	123/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	427			articStaccatoAbove						51		
42	42	185/3	185/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	428			articStaccatoAbove						51		
42	42	371/6	371/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	429			articStaccatoAbove								
42	42	62	62	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	430			articStaccatoAbove						52		
42	42	373/6	373/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	431			articStaccatoAbove						52		
42	42	187/3	187/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	432			articStaccatoAbove								
42	42	125/2	125/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	433			articStaccatoAbove						53		
42	42	188/3	188/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	434			articStaccatoAbove						53		
42	42	377/6	377/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	435			articStaccatoAbove								
42	42	123/2	123/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	436											
42	42	62	62	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	437											
42	42	125/2	125/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	438											
42	42	123/2	123/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	439											
42	42	62	62	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	440											
42	42	125/2	125/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	441											
43	43	63	63	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	442											
43	43	507/8	507/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	443									54		
43	43	127/2	127/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	444											
43	43	63	63	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	445											
43	43	63	63	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	446											
43	43	507/8	507/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	447									55		
43	43	127/2	127/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	448											
