mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
12	12	267/4	267/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16		1/16	1	273										12				
12	12	67	67	0.25	1/4	1/4	Chord	12/8	2	1	1/16		1/16	1	274										12				
12	12	269/4	269/4	0.25	5/16	5/16	Chord	12/8	2	1	1/16		1/16	1	275										12				
12	12	135/2	135/2	0.25	3/8	3/8	Chord	12/8	2	1	1/16		1/16	1	276										12				
12	12	271/4	271/4	0.25	7/16	7/16	Chord	12/8	2	1	1/16		1/16	1	277										12				
12	12	68	68	0.25	1/2	1/2	Chord	12/8	2	1	1/16		1/16	1	278										12				
12	12	273/4	273/4	0.25	9/16	9/16	Chord	12/8	2	1	1/16		1/16	1	279										12				
12	12	137/2	137/2	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	280										12				
12	12	275/4	275/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	281														
12	12	69	69	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	282														
12	12	69	69	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	283														
12	12	69	69	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	284										13				
12	12	66	66	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	285														
12	12	133/2	133/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8		1/8	1	286														
12	12	67	67	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	287														
12	12	135/2	135/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8		1/8	1	288														
12	12	68	68	0.5	1/2	1/2	Chord	12/8	3	1	1/8		1/8	1	289														
12	12	137/2	137/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	290														
12	12	69	69	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	291														
13	13	72	72	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	292	ha-													
13	13	147/2	147/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8		1/4	3/2	293	-ben,													
13	13	75	75	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	294	thun													
13	13	153/2	153/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	295	sich													
13	13	155/2	155/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	296	im													
13	13	72	72	0.25	0	0	Chord	12/8	2	1	1/16		1/16	1	297										14				
13	13	289/4	289/4	0.25	1/16	1/16	Chord	12/8	2	1	1/16		1/16	1	298										14				
13	13	145/2	145/2	0.25	1/8	1/8	Chord	12/8	2	1	1/16		1/16	1	299										14				
13	13	291/4	291/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16		1/16	1	300										14				
13	13	73	73	0.25	1/4	1/4	Chord	12/8	2	1	1/16		1/16	1	301										14				
13	13	293/4	293/4	0.25	5/16	5/16	Chord	12/8	2	1	1/16		1/16	1	302										14				
13	13	147/2	147/2	0.25	3/8	3/8	Chord	12/8	2	1	1/16		1/16	1	303										14				
13	13	295/4	295/4	0.25	7/16	7/16	Chord	12/8	2	1	1/16		1/16	1	304										14				
13	13	74	74	0.25	1/2	1/2	Chord	12/8	2	1	1/16		1/16	1	305										14				
13	13	297/4	297/4	0.25	9/16	9/16	Chord	12/8	2	1	1/16		1/16	1	306										14				
13	13	149/2	149/2	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	307										14				
13	13	299/4	299/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	308														
13	13	75	75	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	309														
13	13	75	75	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	310														
13	13	75	75	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	311														
13	13	72	72	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	312														
13	13	145/2	145/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8		1/8	1	313														
13	13	73	73	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	314														
13	13	147/2	147/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8		1/8	1	315														
13	13	74	74	0.5	1/2	1/2	Chord	12/8	3	1	1/8		1/8	1	316														
13	13	149/2	149/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	317														
13	13	75	75	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	318														
14	14	78	78	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	319	Gu-													
14	14	159/2	159/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	320	-ten													
14	14	161/2	161/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	321	und													
14	14	81	81	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	322	Ar-													
14	14	165/2	165/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	323	-gen													
14	14	167/2	167/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	324	er-													
14	14	78	78	0.25	0	0	Chord	12/8	2	1	1/16		1/16	1	325										15				
14	14	313/4	313/4	0.25	1/16	1/16	Chord	12/8	2	1	1/16		1/16	1	326										15				
14	14	157/2	157/2	0.25	1/8	1/8	Chord	12/8	2	1	1/16		1/16	1	327										15				
14	14	315/4	315/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16		1/16	1	328										15				
14	14	79	79	0.25	1/4	1/4	Chord	12/8	2	1	1/16		1/16	1	329										15				
14	14	317/4	317/4	0.25	5/16	5/16	Chord	12/8	2	1	1/16		1/16	1	330										15				
14	14	159/2	159/2	0.25	3/8	3/8	Chord	12/8	2	1	1/16		1/16	1	331										15				
14	14	319/4	319/4	0.25	7/16	7/16	Chord	12/8	2	1	1/16		1/16	1	332										15				
14	14	80	80	0.25	1/2	1/2	Chord	12/8	2	1	1/16		1/16	1	333										15				
14	14	321/4	321/4	0.25	9/16	9/16	Chord	12/8	2	1	1/16		1/16	1	334										15				
14	14	161/2	161/2	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	335										15				
14	14	323/4	323/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	336														
14	14	81	81	0.0	3/4	3/4	Spanner	12/8	2	1	0																		2
14	14	81	81	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	337														2
14	14	81	81	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	338														2
14	14	81	81	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	339														2
14	14	78	78	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	340														
14	14	157/2	157/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8		1/8	1	341														
14	14	79	79	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	342														
14	14	159/2	159/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8		1/8	1	343														
14	14	80	80	0.5	1/2	1/2	Chord	12/8	3	1	1/8		1/8	1	344														
14	14	161/2	161/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	345														
14	14	81	81	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	346														
15	15	84	84	0.0	0	0	Chord	12/8	1	1	0	grace32	1/32	1	347														
15	15	84	84	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	348	-la-													
15	15	171/2	171/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8		1/4	3/2	349														
15	15	84	84	0.0	0	0	Spanner	12/8	2	1	0																		
15	15	84	84	0.25	0	0	Chord	12/8	2	1	1/16		1/16	1	350										16				
15	15	337/4	337/4	0.25	1/16	1/16	Chord	12/8	2	1	1/16		1/16	1	351										16				
15	15	169/2	169/2	0.25	1/8	1/8	Chord	12/8	2	1	1/16		1/16	1	352										16				
15	15	339/4	339/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16		1/16	1	353										16				
15	15	85	85	0.25	1/4	1/4	Chord	12/8	2	1	1/16		1/16	1	354										16				
15	15	341/4	341/4	0.25	5/16	5/16	Chord	12/8	2	1	1/16		1/16	1	355										16				
15	15	171/2	171/2	0.25	3/8	3/8	Chord	12/8	2	1	1/16		1/16	1	356										16				
15	15	343/4	343/4	0.25	7/16	7/16	Chord	12/8	2	1	1/16		1/16	1	357										16				
15	15	86	86	0.25	1/2	1/2	Chord	12/8	2	1	1/16		1/16	1	358										16				
15	15	345/4	345/4	0.25	9/16	9/16	Chord	12/8	2	1	1/16		1/16	1	359										16				
15	15	173/2	173/2	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	360										16				
15	15	347/4	347/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	361														
15	15	87	87	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	362														
15	15	87	87	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	363														
15	15	87	87	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	364														
15	15	84	84	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	365														
15	15	169/2	169/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8		1/8	1	366														
15	15	85	85	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	367														
15	15	171/2	171/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8		1/8	1	368														
15	15	86	86	0.5	1/2	1/2	Chord	12/8	3	1	1/8		1/8	1	369														
15	15	173/2	173/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	370														
15	15	87	87	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	371														
16	16	93	93	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	372	und													
16	16	189/2	189/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	373	mor-													
16	16	191/2	191/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	374	-gen													
16	16	90	90	0.0	0	0	Dynamic	12/8	2	1	0						pp												
16	16	90	90	0.25	0	0	Chord	12/8	2	1	1/16		1/16	1	375										17				
16	16	361/4	361/4	0.25	1/16	1/16	Chord	12/8	2	1	1/16		1/16	1	376										17				
16	16	181/2	181/2	0.25	1/8	1/8	Chord	12/8	2	1	1/16		1/16	1	377										17				
16	16	363/4	363/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16		1/16	1	378										17				
16	16	91	91	0.25	1/4	1/4	Chord	12/8	2	1	1/16		1/16	1	379										17				
16	16	365/4	365/4	0.25	5/16	5/16	Chord	12/8	2	1	1/16		1/16	1	380										17				
16	16	183/2	183/2	0.25	3/8	3/8	Chord	12/8	2	1	1/16		1/16	1	381										17				
16	16	367/4	367/4	0.25	7/16	7/16	Chord	12/8	2	1	1/16		1/16	1	382										17				
16	16	92	92	0.25	1/2	1/2	Chord	12/8	2	1	1/16		1/16	1	383										17				
16	16	369/4	369/4	0.25	9/16	9/16	Chord	12/8	2	1	1/16		1/16	1	384										17				
16	16	185/2	185/2	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	385										17				
16	16	371/4	371/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	386														
16	16	93	93	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	387														
16	16	93	93	0.0	3/4	3/4	Chord	12/8	2	1	0	grace32	1/32	1	388														
16	16	93	93	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	389														
16	16	90	90	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	390														
16	16	181/2	181/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8		1/8	1	391														
16	16	91	91	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	392														
16	16	183/2	183/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8		1/8	1	393														
16	16	92	92	0.5	1/2	1/2	Chord	12/8	3	1	1/8		1/8	1	394														
16	16	185/2	185/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	395														
16	16	93	93	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	396														
17	17	96	96	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	397	früh									18				
17	17	195/2	195/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	398														
17	17	197/2	197/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	399	ist													
17	17	99	99	0.0	3/4	3/4	StaffText	12/8	1	1	0								ritard.										
17	17	99	99	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	400	al-													
17	17	201/2	201/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	401	-les													
17	17	203/2	203/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	402	zer-													
17	17	96	96	0.25	0	0	Chord	12/8	2	1	1/16		1/16	1	403										19				
17	17	385/4	385/4	0.25	1/16	1/16	Chord	12/8	2	1	1/16		1/16	1	404										19				
17	17	193/2	193/2	0.25	1/8	1/8	Chord	12/8	2	1	1/16		1/16	1	405										19				
17	17	387/4	387/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16		1/16	1	406										19				
17	17	97	97	0.25	1/4	1/4	Chord	12/8	2	1	1/16		1/16	1	407										19				
17	17	389/4	389/4	0.25	5/16	5/16	Chord	12/8	2	1	1/16		1/16	1	408										19				
17	17	195/2	195/2	0.25	3/8	3/8	Chord	12/8	2	1	1/16		1/16	1	409										19				
17	17	391/4	391/4	0.25	7/16	7/16	Chord	12/8	2	1	1/16		1/16	1	410										19				
17	17	98	98	0.25	1/2	1/2	Chord	12/8	2	1	1/16		1/16	1	411										19				
17	17	393/4	393/4	0.25	9/16	9/16	Chord	12/8	2	1	1/16		1/16	1	412										19				
17	17	197/2	197/2	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	413										19				
17	17	395/4	395/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	414														
17	17	99	99	0.0	3/4	3/4	StaffText	12/8	2	1	0								ritard.										
17	17	99	99	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	415										20				
17	17	201/2	201/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	416										20				
17	17	203/2	203/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	417														
17	17	96	96	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	418														
17	17	193/2	193/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8		1/8	1	419														
17	17	97	97	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	420														
17	17	195/2	195/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8		1/8	1	421														
17	17	98	98	0.5	1/2	1/2	Chord	12/8	3	1	1/8		1/8	1	422														
17	17	197/2	197/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	423														
17	17	99	99	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	424														
18	18	102	102	0.0	0	0	Chord	12/8	1	1	0	appoggiatura	1/8	1	425														
18	18	102	102	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	426	-flos-													
18	18	103	103	0.5	1/4	1/4	Chord	12/8	1	1	1/8		1/8	1	427	-sen													
18	18	102	102	1.0	0	0	Chord	12/8	2	1	1/4		1/4	1	428														
18	18	103	103	0.0	1/4	1/4	Spanner	12/8	2	1	0																	0	
18	18	102	102	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	429										21				
18	18	409/4	409/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	430										21				
18	18	205/2	205/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	431										21				
18	18	411/4	411/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	432										21				
18	18	103	103	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	433										21				
18	18	413/4	413/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	434										21				
18	18	207/2	207/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	435										21				
18	18	415/4	415/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	436										21				
18	18	104	104	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	437										21				
18	18	417/4	417/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	438										21				
18	18	209/2	209/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	439										21				
18	18	419/4	419/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	440										21				
18	18	105	105	0.25	3/4	3/4	Chord	12/8	3	1	1/16		1/16	1	441										21				
18	18	421/4	421/4	0.25	13/16	13/16	Chord	12/8	3	1	1/16		1/16	1	442										21				
18	18	211/2	211/2	0.25	7/8	7/8	Chord	12/8	3	1	1/16		1/16	1	443										21				
18	18	423/4	423/4	0.25	15/16	15/16	Chord	12/8	3	1	1/16		1/16	1	444										21				
18	18	106	106	0.25	1	1	Chord	12/8	3	1	1/16		1/16	1	445										21				
18	18	425/4	425/4	0.25	17/16	17/16	Chord	12/8	3	1	1/16		1/16	1	446										21				
18	18	213/2	213/2	0.25	9/8	9/8	Chord	12/8	3	1	1/16		1/16	1	447										21				
18	18	427/4	427/4	0.25	19/16	19/16	Chord	12/8	3	1	1/16		1/16	1	448										21				
18	18	107	107	0.25	5/4	5/4	Chord	12/8	3	1	1/16		1/16	1	449										21				
18	18	429/4	429/4	0.25	21/16	21/16	Chord	12/8	3	1	1/16		1/16	1	450										21				
18	18	215/2	215/2	0.25	11/8	11/8	Chord	12/8	3	1	1/16		1/16	1	451										21				
18	18	431/4	431/4	0.25	23/16	23/16	Chord	12/8	3	1	1/16		1/16	1	452														
19	19	227/2	227/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	453	je													
19	19	108	108	0.0	0	0	Spanner	12/8	2	1	0																		
19	19	108	108	0.0	0	0	Spanner	12/8	2	1	0															0			
19	19	108	108	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	454			articStaccatoAbove							22	0			
19	19	217/2	217/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	455			articStaccatoAbove							22	0			
19	19	109	109	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	456			articStaccatoAbove							22	0			
19	19	219/2	219/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	457			articStaccatoAbove							22	0			
19	19	110	110	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	458			articStaccatoAbove							22	0			
19	19	221/2	221/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	459			articStaccatoAbove							22	0			
19	19	111	111	0.0	3/4	3/4	Spanner	12/8	2	1	0														22	0	0		
19	19	111	111	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	460			articStaccatoAbove							22	0	0		
19	19	223/2	223/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8		1/8	1	461			articStaccatoAbove							22	0	0		
19	19	112	112	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	462			articStaccatoAbove							22	0	0		
19	19	225/2	225/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8		1/8	1	463			articStaccatoAbove							22	0	0		
19	19	113	113	0.5	5/4	5/4	Chord	12/8	2	1	1/8		1/8	1	464			articStaccatoAbove							22	0	0		
19	19	227/2	227/2	0.0	11/8	11/8	Dynamic	12/8	2	1	0						p									0	0		
19	19	227/2	227/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	465			articStaccatoAbove								0	0		
19	19	108	108	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	466														
19	19	227/2	227/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8		1/8	1	467														
20	20	114	114	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	468	nun,													
20	20	233/2	233/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	469	je													
20	20	117	117	1.0	3/4	3/4	Chord	12/8	1	1	1/4		1/4	1	470	nun													
20	20	239/2	239/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	471	sie													
20	20	114	114	0.0	0	0	Spanner	12/8	2	1	0																		
20	20	114	114	0.0	0	0	Spanner	12/8	2	1	0																		
20	20	114	114	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	472														
20	20	229/2	229/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	473														
20	20	115	115	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	474														
20	20	231/2	231/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	475														
20	20	116	116	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	476														
20	20	233/2	233/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	477														
20	20	117	117	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	478										23				
20	20	235/2	235/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8		1/8	1	479										23				
20	20	118	118	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	480														
20	20	237/2	237/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8		1/8	1	481														
20	20	119	119	0.5	5/4	5/4	Chord	12/8	2	1	1/8		1/8	1	482														
20	20	239/2	239/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	483														
20	20	114	114	1.0	0	0	Chord	12/8	3	1	1/4		1/4	1	484														
20	20	233/2	233/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	485														
20	20	117	117	1.0	3/4	3/4	Chord	12/8	3	1	1/4		1/4	1	486														
20	20	239/2	239/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8		1/8	1	487														
21	21	120	120	0.5	0	0	Chord	12/8	1	1	1/8		1/8	1	488	ha-													
21	21	241/2	241/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8		1/8	1	489	-ben													
21	21	121	121	0.5	1/4	1/4	Chord	12/8	1	1	1/8		1/8	1	490	ihr													
21	21	243/2	243/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	491	Theil													
21	21	245/2	245/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	492	ge-													
21	21	123	123	0.5	3/4	3/4	Chord	12/8	1	1	1/8		1/8	1	493	-nos-													
21	21	247/2	247/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8		1/8	1	494	-sen,													
21	21	251/2	251/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	495	und													
21	21	120	120	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	496														
21	21	241/2	241/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	497														
21	21	121	121	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	498														
21	21	243/2	243/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	499														
21	21	122	122	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	500														
21	21	245/2	245/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	501														
21	21	123	123	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	502										24				
21	21	247/2	247/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8		1/8	1	503										24				
21	21	124	124	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	504										24				
21	21	249/2	249/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8		1/8	1	505										24				
21	21	125	125	0.5	5/4	5/4	Chord	12/8	2	1	1/8		1/8	1	506										24				
21	21	251/2	251/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	507														
21	21	123	123	0.5	3/4	3/4	Chord	12/8	2	2	1/8		1/8	1	508														
21	21	247/2	247/2	0.5	7/8	7/8	Chord	12/8	2	2	1/8		1/8	1	509														
21	21	124	124	0.5	1	1	Chord	12/8	2	2	1/8		1/8	1	510														
21	21	249/2	249/2	0.5	9/8	9/8	Chord	12/8	2	2	1/8		1/8	1	511														
21	21	125	125	0.5	5/4	5/4	Chord	12/8	2	2	1/8		1/8	1	512														
21	21	251/2	251/2	0.5	11/8	11/8	Chord	12/8	2	2	1/8		1/8	1	513														
21	21	120	120	0.0	0	0	Spanner	12/8	3	1	0															1			
21	21	120	120	0.5	0	0	Chord	12/8	3	1	1/8		1/8	1	514										25	1			
21	21	241/2	241/2	0.5	1/8	1/8	Chord	12/8	3	1	1/8		1/8	1	515										25	1			
21	21	121	121	0.5	1/4	1/4	Chord	12/8	3	1	1/8		1/8	1	516										25	1			
21	21	243/2	243/2	0.0	3/8	3/8	Spanner	12/8	3	1	0														25	1	1		
21	21	243/2	243/2	1.0	3/8	3/8	Chord	12/8	3	1	1/4		1/4	1	517										25	1	1		
21	21	245/2	245/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	518											1	1		
21	21	123	123	1.0	3/4	3/4	Chord	12/8	3	1	1/4		1/4	1	519											1	1		
21	21	251/2	251/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8		1/8	1	520											1	1		
22	22	126	126	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	521	hof-													
22	22	127	127	0.5	1/4	1/4	Chord	12/8	1	1	1/8		1/8	1	522	-fen,													
22	22	257/2	257/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	523	und													
22	22	129	129	1.0	3/4	3/4	Chord	12/8	1	1	1/4		1/4	1	524	hof-													
22	22	130	130	0.5	1	1	Chord	12/8	1	1	1/8		1/8	1	525	-fen,													
22	22	263/2	263/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	526	was													
22	22	126	126	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	527														
22	22	253/2	253/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	528														
22	22	127	127	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	529														
22	22	255/2	255/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	530														
22	22	128	128	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	531														
22	22	257/2	257/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	532														
22	22	129	129	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	533										26				
22	22	259/2	259/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8		1/8	1	534										26				
22	22	130	130	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	535														
22	22	261/2	261/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8		1/8	1	536														
22	22	131	131	0.5	5/4	5/4	Chord	12/8	2	1	1/8		1/8	1	537														
22	22	263/2	263/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	538														
22	22	126	126	0.0	0	0	Spanner	12/8	3	1	0																		
22	22	126	126	0.0	0	0	Spanner	12/8	3	1	0																		
22	22	126	126	1.0	0	0	Chord	12/8	3	1	1/4		1/4	1	539														
22	22	257/2	257/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8		1/8	1	540														
22	22	129	129	1.0	3/4	3/4	Chord	12/8	3	1	1/4		1/4	1	541														
22	22	263/2	263/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8		1/8	1	542														
